subject_code,subject_name
ENP431,CONTEMPORARY WORLD LITERATURE AND LITERARY CRITICISM
LAT431,LANGUAGE : LATIN
PHL231,MEDIEVAL WESTERN PHILOSOPHY
PHL232,SMRTI IN INDIAN PHILOSOPHY
PHL233,FORMAL LOGIC
PHL234,FIDES ET RATIO
PHL431,CONTEMPORARY WESTERN PHILOSOPHY
PHL432,CONTEMPORARY INDIAN PHILOSOPHY
PHL433,PHILOSOPHY OF BEING
PHL434,TUTORIAL: CONTEMPORARY TEXTS
PHL631,PHILOSOPHY OF SCIENCE AND NATURE
PHL632,PHILOSOPHY OF KNOWLEDGE
PHL633,SOCIAL ETHICS
PHL634,PHILOSOPHY OF SUBALTERN MOVEMENTS
PHL635,FEMINIST APPROACHES TO PHILOSOPHY
PHL636,PHILOSOPHY OF SOCIAL INVOLVEMENT
PHL681,THESIS
PHL682,COMPREHENSIVE WRITTEN
PHL683,COMPREHENSIVE VIVA VOCE
PSP231,SOCIAL PSYCHOLOGY
PSP431,THEORIES OF PERSONALITY AND HOLISTIC PSYCHOLOGY
PSP451,PSYCHOLOGY PRACTICUM
BBA212,SKILL DEVELOPMENT - II
BBA231,CORPORATE ACCOUNTING
BBA232,HUMAN RESOURCE MANAGEMENT
BBA233,BUSINESS STATISTICS
BBA234,INTERNATIONAL BUSINESS
BBA261,DEVELOPMENTAL PSYCHOLOGY
BBA262,SOCIOLOGY OF CHANGE AND DEVELOPMENT
BBA263,TECHNIQUES OF DIGITAL DESIGN
BBA264,INDIAN SOCIETY AND LAW
BBA265,WEB PAGE DESIGNING AND MULTIMEDIA
BBA266,SOCIAL POLICY AND SOCIAL LEGISLATION
BBA267,EUROPEAN CUISINE
BBA281,SOCIAL RESPONSIBILITY PROJECT
BBA431,COST ACCOUNTING
BBA432,RESEARCH METHODOLOGY
BBA433,INDIAN FINANCIAL SYSTEM
BBA434,MANAGEMENT INFORMATION SYSTEM
BBA435,ENTREPRENEURSHIP DEVELOPMENT
BBA436,CORPORATE LAW
BBA471,ENTREPRENEURSHIP DEVELOPMENT PROJECT
BBA472,SKILL DEVELOPMENT - IV
BBA631,BANKING AND INSURANCE
BBA632,PRODUCTION MANAGEMENT
BBA633,BUSINESS LAW
BBA641,ADVANCED MANAGEMENT ACCOUNTING
BBA642,INDIRECT TAXES
BBA643,MERGERS AND ACQUISITION
BBA651,ADVERTISING MANAGEMENT
BBA652,SALES MANAGEMENT
BBA653,RURAL MARKETING
BBA661,HUMAN RESOURCES DEVELOPMENT
BBA662,ORGANISATIONAL DEVELOPMENT
BBA663,STRATEGIC HUMAN RESOURCE MANAGEMENT
BBA671,PROJECT (ELECTIVE)
BBA672,SKILL DEVELOPMENT ELECTIVE FINANCE - II
BBA672,SKILL DEVELOPMENT ELECTIVE MARKETING - II
BBA672,SKILL DEVELOPMENT ELECTIVE HUMAN RESOURCE - II
HIN232,HINDI
KAN232,KANNADA
SAN232,SANSKRIT
SAP,SAP
ADMG6530,ADVERTISING MANAGEMENT
AMA6440,ADVANCED MANAGEMENT ACCOUNTING
BBAH431,BUSINESS FINANCE
BBAH432,SERVICE MANAGEMENT
BBAH433,BUSINESS ETHICS AND SUSTAINABILITY
BBAH434,COMPANY LAW
BBAH435,HUMAN RESOURCE MANAGEMENT
BBAH436,COST AND MANAGEMENT ACCOUNTING
BBAH437,BANKING AND INSURANCE
BBAH471,PROJECT (ED)
BBH211,SKILL DEVELOPMENT
BBH221,THOUGHT AND WRITING
BBH223,ENVIRONMENTAL STUDIES
BBH231,INTERPERSONAL COMMUNICATION
BBH232,PRINCIPLES OF MICRO ECONOMICS
BBH233,CORPORATE ACCOUNTING
BBH234,BUSINESS STATISTICS
BBH263,SOCIETY AND CULTURE
BZL6360,BUSINESS LAW
CAS6720,SKILL DEVELOPMENT (ELECTIVE)
FOC4310,HOLISTIC EDUCATION
HRD6610,HUMAN RESOURCES DEVELOPMENT
IDTX6450,INDIRECT TAXES
MACQ6460,MERGERS AND ACQUISITIONS
MIS6320,MANAGEMENT INFORMATION SYSTEM
ORD6620,ORGANISATION DEVELOPMENT
PRMG6350,PRODUCTION MANAGEMENT
PRO6710,PROJECT (ELECTIVE)
RMKG6560,RURAL MARKETING
SHRM6650,STRATEGIC HUMAN RESOURCE MANAGEMENT
SMG6540,SALES MANAGEMENT
COM231,FINANCIAL ACCOUNTING - II
COM232,BUSINESS LAW
COM233,BUSINESS MATHEMATICS AND STATISTICS
COM234,BUSINESS ECONOMICS - II
COM431,FINANCIAL MANAGEMENT
COM432,E-COMMERCE
COM433,CORPORATE ACCOUNTING - II
COM434,COMPANY LAW AND SECRETARIAL PRACTICE
COM435,RESEARCH METHODOLOGY
COM631,COST ACCOUNTING - II
COM632,PRINCIPLES AND PRACTICE OF AUDITING
COM633,TAXATION LAWS - II
COM634,MANAGEMENT ACCOUNTING
COM641A,INVESTMENT MANAGEMENT
COM641B,ADVERTISING MANAGEMENT
COM642A,INTERNATIONAL FINANCIAL MANAGEMENT
COM642B,BRAND MANAGEMENT
ENG432,ENGLISH
HIN432,HINDI
KAN432,KANNADA
SAN432,SANSKRIT
AEN231,ADDITIONAL ENGLISH
COC223,ENVIRONMENTAL STUDIES
COC231,FINANCIAL ACCOUNTING - II
COC232,COST ACCOUNTING - II
COC233,BUSINESS MANAGEMENT
COC234,"FINANCIAL MARKETS, INSTITUTIONS AND SERVICES"
COC261,INTRODUCTION TO PHOTOGRAPHY
COC262,INTRODUCTION TO MUSIC AND DANCE
COC263,INTRODUCTION TO THEATRE
COC264,INTRODUCTION TO GRAPHIC DESIGNING
COC431,CORPORATE ACCOUNTING
COC432,BUSINESS LAW - II
COC433,ORGANIZATIONAL BEHAVIOUR
COC434,FINANCIAL MANAGEMENT - II
COC435,MANAGEMENT ACCOUNTING
COC631,ADVANCED FINANCIAL ACCOUNTING - II
COC632,HUMAN RESOURCE MANAGEMENT
COC633,RESEARCH METHODOLOGY
COC634,CORPORATE TAX PLANNING
COC635,"FINANCIAL MARKETS, INSTITUTIONS AND SERVICES"
COC636,PRINCIPLES OF INSURANCE
COC681,RESEARCH PROJECT
BIF231,FINANCIAL ACCOUNTING AND REPORTING - II
BIF232,MANAGEMENT ACCOUNTING
BIF233,PROFESSIONAL AND LEGAL RESPONSIBILITIES AND BUSINESS LAW
BIF234,QUANTITATIVE APPLICATIONS IN BUSINESS
BIF261,BUSINESS COMMUNICATION
BIF262,BUSINESS LEADERSHIP SKILLS
BIF263,BUSINESS NEGOTIATION
BIF264,PROJECT MANAGEMENT
COH231,CORPORATE ACCOUNTING
COH232,CORPORATE LAWS
COH233,BUSINESS STATISTICS
COH234,BUSINESS ECONOMICS - II
COH431,MANAGEMENT ACCOUNTING
COH432,ENTREPRENEURSHIP DEVELOPMENT
COH433,PRINCIPLES OF AUDITING
COH612,PROJECT (BASED ON SPECIALIZATION)
COH631,INDIRECT TAXES
COH632,ACCOUNTING FOR SERVICES
COH633,ACCOUNTING STANDARDS - II
COH641A,PRACTICE OF LIFE INSURANCE AND GENERAL INSURANCE
COH641B,INTERNATIONAL FINANCE
COH642A,INTERNATIONAL BANKING
COH642B,FINANCIAL SECURITIES AND DERIVATIVES
COH643A,REGULATIONS OF INSURANCE BUSINESS
COH643B,INVESTMENT ANALYSIS AND PORTFOLIO MANAGEMENT
COP231,FINANCIAL ACCOUNTING - II
COP232,BUSINESS MATHEMATICS AND STATISTICS
COP233,INDIAN FINANCIAL SYSTEM
COP234,MANAGEMENT ACCOUNTING - I
COP261,INTRODUCTION TO PHOTOGRAPHY
COP262,INTRODUCTION TO MUSIC AND DANCE
COP263,INTRODUCTION TO THEATRE
COP264,INTRODUCTION TO GRAPHIC MEDIA
COP411,INFORMATION TECHNOLOGY IN BUSINESS
COP431,OPERATIONS MANAGEMENT
COP432,MANAGEMENT ACCOUNTING - II
COP433,ADVANCED FINANCIAL ACCOUNTING - II
COP434,TAXATION - I
COP631,AUDITING -II
COP632,COST AND MANAGEMENT ACCOUNTING - II
COP633,INVESTMENT MANAGEMENT
COP634,TAXATION - II
COP635,FINANCIAL MANAGEMENT - II
COP636,RESEARCH METHODOLOGY
COP681,RESEARCH PROJECT (TEAM WORK) / VIVA
COP682,INDUSTRY TRAINING REPORT (TEAM WORK)
ENVS,ENVIRONMENTAL STUDIES
BCA211,CASE TOOLS LAB (CIA ONLY)
BCA221,COMMUNICATIVE ENGLISH
BCA231,BASIC DISCRETE MATHEMATICS
BCA232,STATISTICS II FOR BCA
BCA233,OPERATING SYSTEMS
BCA234,DATA STRUCTURES
BCA251,DATA STRUCTURES LAB
BCA252,VISUAL PROGRAMMING LAB
BCA431,PROFESSIONAL ENGLISH
BCA432,GRAPH THEORY
BCA433,FINANCIAL MANAGEMENT
BCA434,COMPUTER NETWORKS
BCA435,PROGRAMMING IN JAVA
BCA451,JAVA PROGRAMMING LAB
BCA452,DBMS PROJECT LAB
BCA453,WEB TECHNOLOGY LAB
BCA471,LANGUAGE LAB(CIA ONLY)
BCA631,CYBER LAW
BCA632,DESIGN AND ANALYSIS OF ALGORITHMS
BCA641A,GERMAN LANGUAGE -II
BCA641B,FRENCH LANGUAGE - II
BCA642A,CLIENT-SERVER COMPUTING
BCA642C,COMPUTER ARCHITECTURE
BCA642E,CLOUD COMPUTING
BCA643B,MULTIMEDIA APPLICATIONS
BCA643D,INTRODUCTION TO SOFT COMPUTING
BCA643E,ADVANCED DATABASE MANAGEMENT SYSTEM
BCA651,MAJOR PROJECT
EDU231,SOCIOLOGICAL PERSPECTIVES OF EDUCATION
EDU232,FUNDAMENTALS OF EDUCATIONAL RESEARCH
EDU233,EDUCATIONAL EVALUATION AND ASSESSMENT
EDU234,CONCERNS AND ISSUES IN EDUCATION
EDU241A,PEDAGOGY OF SOCIAL SCIENCE
EDU241B,PEDAGOGY OF CHEMISTRY
EDU241C,PEDAGOGY OF MATHEMATICS
EDU242A,PEDAGOGY OF ENGLISH
EDU242B,PEDAGOGY OF BIOLOGY
EDU242C,PEDAGOGY OF PHYSICS
EDU271,THEATRE IN EDUCATION
EDU273,SPORTS AND YOGA
EDU274,COMPUTER TRAINING
EDU281,INTERNSHIP IN SCHOOL PHASE I
EDU431,EDUCATIONAL LEADERSHIP AND MANAGEMENT
EDU432,ICT IN EDUCATION
EDU433,INCLUSIVE EDUCATION
EDU434,CURRICULUM DEVELOPMENT AND EVALUATION
EDU444A,STATISTICS IN EDUCATION
EDU444B,PHYSICAL AND HEALTH EDUCATION
EDU445A,GUIDANCE AND COUNSELING
EDU445B,ADOLESCENCE EDUCATION
EDU471,SEMINAR
EDU472,SPORTS AND YOGA
EDU481,RESEARCH PROJECT
BHM212,SKILL DEVELOPMENT
BHM231,FUNDAMENTALS OF CULINARY - II
BHM232,FUNDAMENTALS OF FOOD AND BEVERAGE SERVICE - II
BHM233,FUNDAMENTALS OF FRONT OFFICE - II
BHM234,FUNDAMENTALS OF ROOMS DIVISION - II
BHM235,FINANCIAL ACCOUNTING
BHM251,FUNDAMENTALS OF CULINARY - II
BHM252,FUNDAMENTALS OF FOOD AND BEVERAGE SERVICE - II
BHM253,FUNDAMENTALS OF FRONT OFFICE - II
BHM254,FUNDAMENTALS OF ROOMS DIVISION - II
BHM412,SKILL DEVELOPMENT
BHM431,ADVANCED BAKING MANAGEMENT
BHM432,BEVERAGE STUDIES AND MANAGEMENT (F&B)
BHM433,FRONT OFFICE MANAGEMENT
BHM434,MANAGEMENT ACCOUNTING
BHM435,BUSINESS ENVIRONMENT
BHM451,QUANTITY CULINARY OPERATIONS - PRACTICAL
BHM452,BEVERAGE STUDIES AND MANAGEMENT - PRACTICAL
BHM461,MACRO ECONOMICS
BHM611,ENTREPRENEURSHIP STUDIES
BHM612,SKILL DEVELOPMENT
BHM631,RESEARCH METHODOLOGY
BHM632,IMAGINEERING AND INNOVATION
BHM633,HUMAN RESOURCE MANAGEMENT
BHM634,SERVICES MANAGEMENT
BHM635,TRAVEL AND TOURISM
BHM651,EUROPEAN CUISINE
BHM652,FOOD AND BEVERAGE MANAGEMENT
BHM653,ADVANCED BAKING AND PATISSERIE
BHM654,ACCOMMODATION MANAGEMENT - INTERMEDIATE
BHM811,SKILL DEVELOPMENT
BHM831,RETAIL MANAGEMENT
BHM832,EVENT MANAGEMENT
BHM833,REVENUE MANAGEMENT
BHM834,CONSUMER BEHAVIOR
BHM835,BUSINESS ETHICS AND SUSTAINABILITY
BHM851,ADVANCED SLOW FOOD
BHM852,ADVANCED FOOD AND BEVERAGE DESIGN
BHM853,BAKING TECHNIQUES AND DESSERT ARTISTRY II - PRACTICAL
BHM854,ACCOMMODATION MANAGEMENT ADVANCED - II
BHM881,FINAL PROJECT
BHM882,INTERNAL OPERATION INTERNSHIP
ENG221,ENGLISH - II
CH232,APPLIED CHEMISTRY
CS234,BASICS OF COMPUTER SCIENCE AND ENGINEERING
EC233,BASIC ELECTRONICS
MA231,MATHEMATICS - II
ME235,BASICS OF MECHANICAL ENGINEERING
ME251,WORKSHOP PRACTICE
CE234,BASICS OF CIVIL ENGINEERING AND ENGINEERING MECHANICS
EE233,BASICS OF ELECTRICAL ENGINEERING
EG235,ENGINEERING GRAPHICS
PD236,PROFESSIONAL DEVELOPMENT - I
PH232,APPLIED PHYSICS
BBAT231,INDIAN TOURISM PRODUCTS AND GEOGRAPHY
BBAT232,FUNDAMENTALS IN HOTEL MANAGEMENT
BBAT233,CORPORATE ACCOUNTING
BBAT234,ORGANIZATIONAL BEHAVIOUR
BBAT267,TRAVEL REPORTING AND EDITING
BBAT411,TRAVEL MEDIA AND COMMUNICATION
BBAT431,TRAVEL AGENCY AND TOUR OPERATIONS
BBAT432,FINANCIAL MANAGEMENT
BBAT433,RESEARCH METHODOLOGY
BBAT434,CORPORATE ACCOUNTING
BBAT461,TRAVEL REPORTING AND EDITING
COT631,INTERNATIONAL TOURISM
COT632,COST ACCOUNTING - II
COT633,INTEGRATED MARKETING COMMUNICATION
COT634,MANAGEMENT ACCOUNTING
COT641A,INVESTMENT MANAGEMENT
COT641B,ADVERTISING FOR TOURISM AND HOSPITALITY
COT642A,INTERNATIONAL FINANCIAL MANAGEMENT
COT642B,AVIATION AND TRANSPORTATION MANAGEMENT
COT681,RESEARCH PROJECT REPORT AND VIVA VOCE
FOC431,HOLISTIC EDUCATION
BBF223,ENVIRONMENTAL STUDIES
BBF231,FINANCIAL ACCOUNTING - II
BBF232,BUSINESS MATHEMATICS AND STATISTICS
BBF233,INDIAN FINANCIAL SYSTEM
BBF234,BUSINESS AND COMMERCIAL LAW
BBF261,INTRODUCTION TO PHOTOGRAPHY
BBF262,INTRODUCTION TO MUSIC AND DANCE
BBF263,INTRODUCTION TO THEATRE
BBF264,INTRODUCTION TO GRAPHIC MEDIA
BBF412,COMPUTER FUNDAMENTALS
BBF423,BUSINESS COMMUNICATION AND INTER PERSONAL SKILLS
BBF431,E-COMMERCE
BBF432,CORPORATE LAW
BBF433,PERFORMANCE MANAGEMENT
BBF434,EXIM TRADE AND FOREX MANAGEMENT
BBF631,ADVANCED FINANCIAL MANAGEMENT
BBF632,ADVANCED PERFORMANCE MANAGEMENT
BBF633,CORPORATE REPORTING
BBF634,INSURANCE MANAGEMENT
BBF681,RESEARCH PROJECT (TEAM WORK) / VIVA
ACTY2110,PRINCIPLES OF ACCOUNTING - II
BUS2200,INTRODUCTION TO GLOBAL BUSINESS
BUS4500,BUSINESS ETHICS AND SUSTAINABILITY
CAS4720,SKILL DEVELOPMENT
CMA4360,COST AND MANAGEMENT ACCOUNTING
COM1700,INTERPERSONAL COMMUNICATION
ECON2010,PRINCIPLES OF MICRO ECONOMICS
ENGL1050,THOUGHT AND WRITING
FIN6020,CORPORATE FINANCE
IHRM4350,INTERNATIONAL HUMAN RESOURCE MANAGEMENT
IMKT2500,INTERNATIONAL MARKETING
LANB2310,FRENCH
LANG2310,GERMAN
PRO4710,PROJECT (ED)
SOC3340,PACIFIC - RIM ASIAN SOCIETIES
STAT2160,BUSINESS STATISTICS
BBL1074,"PUBLIC INTEREST LITIGATION, LEGAL AID AND PARA LEGAL SERVICES"
BBL1075,MOOT COURT AND INTERNSHIP (C3)
BBL1076,PROFESSIONAL ETHICS AND ACCOUNTING SYSTEM (C4)
BBL1083,DISSERTATION
BBL10E1A,INTERNATIONAL CRIMINAL LAW
BBL10E1B,INTERNATIONAL INVESTMENT LAWS
BBL10E2A,SPACE LAW
BBL10E2B,CONFLICT OF LAWS
BBL10E3A,REGULATION OF BIOTECHNOLOGY
BBL10E3B,FORENSIC SCIENCE AND LAW
BBL10E4A,CORPORATE TAXATION
BBL10E4B,LAW OF WRITS
BBL10E5A,LAW AND PSYCHOLOGY
BBL10E5B,DIGITAL EVIDENCE
BBL221,PRINCIPLES OF ACCOUNTING
BBL232,BUSINESS COMMUNICATION
BBL253,LAW AND SOCIETY
BBL264,LEGAL LANGUAGE AND LEGAL WRITING
BBL265,LAW OF CONSUMER PROTECTION AND MOTOR VEHICLES ACT
BBL2E1,FEMINIST JURISPRUDENCE
BBL2E2,LAW OF FREEDOM OF INFORMATION AND PREVENTION OF CORRUPTION
BBL2E3,HUMAN RIGHTS
BBL2E4,NATURAL RESOURCES LAW
BBL2E5,LAW OF AGRICULTURE
BBL421,MARKETING MANAGEMENT
BBL442,LAW AND ECONOMICS
BBL463,JURISPRUDENCE
BBL464,CONTRACT - II
BBL465,PROPERTY LAW
BBL4E1,LAW AND MEDICINE
BBL4E2,URBAN DEVELOPMENT LAW
BBL4E3,"CHILDREN, YOUTH AND INTERNATIONAL HUMAN RIGHTS"
BBL4E4,"LAW, POVERTY AND DEVELOPMENT"
BBL4E5,FOOD LAW AND POLICY
BBL662,CRIMINAL LAW - I
BBL663,COMPANY LAW - II
BBL664,CONSTITUTIONAL LAW - II
BBL666,LABOUR AND INDUSTRIAL LAW
BBL685,INTELLECTUAL PROPERTY LAW
BBL6E1,LAW OF CORPORATE INSOLVENCY
BBL6E2,ECONOMIC CRIMES
BBL6E3,HEALTH LAW
BBL6E4,DOMESTIC VIOLENCE
